Inventory_ID,ISO639P3code,Glottocode,phonemes,consonants,vowels,tones
1,kor,kore1280,40,22,18,0
2,ket,kett1243,32,18,14,0
3,lbe,lakk1252,69,60,9,0
4,kbd,kaba1278,56,49,7,0
5,kat,nucl1302,35,29,6,0
6,bsk,buru1296,53,38,12,3
7,kru,kuru1302,68,46,22,0
8,tel,telu1262,68,47,21,0
9,kfe,kota1263,34,23,11,0
10,unr,mund1320,37,32,5,0
11,khr,khar1287,41,31,10,0
12,kha,khas1269,28,19,9,0
13,sed,seda1262,53,39,14,0
14,khm,cent1989,42,21,21,0
15,vie,viet1252,39,21,12,6
16,cmn,mand1415,43,27,12,4
17,wuu,wuch1236,41,29,9,3
18,hak,hakk1236,31,21,6,4
19,yue,yuec1235,32,22,5,5
20,ium,iumi1238,49,35,8,6
21,njz,nyis1236,27,16,9,2
22,mya,nucl1310,50,34,13,3
23,lhu,lahu1253,40,26,9,5
24,grt,garo1247,26,21,5,0
25,ksw,sgaw1245,39,27,9,3
26,lbc,lakk1238,59,31,22,6
27,tha,thai1261,45,21,18,6
28,pcc,bouy1240,38,24,8,6
29,cja,west2650,35,24,9,2
30,tay,atay1247,27,19,8,0
31,plt,plat1254,36,31,5,0
32,zsm,stan1306,27,21,6,0
33,bbc,bata1289,21,16,5,0
34,snv,saba1265,46,38,8,0
35,sun,sund1252,26,19,7,0
36,jav,java1254,30,22,8,0
37,tgl,taga1270,28,18,10,0
38,cha,cham1312,36,30,6,0
39,iai,iaai1238,52,33,19,0
40,khl,kali1299,28,18,10,0
41,adz,adze1240,25,18,7,0
42,mri,maor1246,20,10,10,0
43,haw,hawa1245,19,9,10,0
44,ant,anta1253,23,17,6,0
45,nna,nyan1301,27,20,7,0
46,kjn,kunj1245,28,23,5,0
47,zmr,mara1386,24,19,5,0
48,mph,maun1240,24,19,5,0
49,nuy,nung1290,24,19,5,0
50,alh,alaw1244,28,23,5,0
51,wim,wikm1247,23,13,10,0
52,set,nucl1632,17,10,7,0
53,kmo,kwom1262,31,24,7,0
54,tml,tamn1235,19,14,5,0
55,tlf,tele1256,27,17,8,2
56,gaj,gads1258,19,9,6,4
57,auy,awiy1238,20,11,6,3
58,kup,kuni1267,20,15,5,0
